wavelength value1 value2
765.2104600 1.6202627 164.0000000
765.2549220 1.6201686 154.0000000
765.2993840 1.6200744 150.0000000
765.3438460 1.6199803 151.0000000
765.3883080 1.6198862 144.0000000
765.4327700 1.6197921 143.0000000
765.4772320 1.6196980 151.0000000
765.5216940 1.6196040 147.0000000
765.5661560 1.6195099 171.0000000
765.6106180 1.6194159 158.0000000
765.6550800 1.6193218 154.0000000
765.6995420 1.6192278 145.0000000
765.7440040 1.6191338 152.0000000
765.7884660 1.6190398 155.0000000
765.8329280 1.6189458 150.0000000
765.8773900 1.6188518 153.0000000
765.9218520 1.6187578 164.0000000
765.9663140 1.6186638 163.0000000
766.0107760 1.6185699 163.0000000
766.0552380 1.6184759 161.0000000
766.0997000 1.6183820 152.0000000
766.1441620 1.6182881 146.0000000
766.1886240 1.6181942 157.0000000
766.2330860 1.6181003 147.0000000
766.2775480 1.6180064 177.0000000
766.3220100 1.6179125 151.0000000
766.3664720 1.6178186 160.0000000
766.4109340 1.6177248 152.0000000
766.4553960 1.6176309 151.0000000
766.4998580 1.6175371 160.0000000
766.5443200 1.6174433 164.0000000
766.5887820 1.6173495 152.0000000
766.6332440 1.6172557 168.0000000
766.6777060 1.6171619 153.0000000
766.7221680 1.6170681 156.0000000
766.7666300 1.6169743 151.0000000
766.8110920 1.6168806 170.0000000
766.8555540 1.6167868 159.0000000
766.9000160 1.6166931 160.0000000
766.9444780 1.6165994 158.0000000
766.9889400 1.6165057 166.0000000
767.0334020 1.6164120 158.0000000
767.0778640 1.6163183 162.0000000
767.1223260 1.6162246 155.0000000
767.1667880 1.6161309 158.0000000
767.2112500 1.6160373 161.0000000
767.2557120 1.6159436 153.0000000
767.3001740 1.6158500 151.0000000
767.3446360 1.6157564 146.0000000
767.3890980 1.6156627 154.0000000
767.4335600 1.6155691 166.0000000
767.4780220 1.6154755 162.0000000
767.5224840 1.6153820 150.0000000
767.5669460 1.6152884 164.0000000
767.6114080 1.6151948 159.0000000
767.6558700 1.6151013 167.0000000
767.7003320 1.6150077 162.0000000
767.7447940 1.6149142 155.0000000
767.7892560 1.6148207 157.0000000
767.8337180 1.6147272 156.0000000
767.8781800 1.6146337 163.0000000
767.9226420 1.6145402 158.0000000
767.9671040 1.6144467 147.0000000
768.0115660 1.6143533 147.0000000
768.0560280 1.6142598 165.0000000
768.1004900 1.6141664 167.0000000
768.1449520 1.6140729 165.0000000
768.1894140 1.6139795 151.0000000
768.2338760 1.6138861 159.0000000
768.2783380 1.6137927 148.0000000
768.3228000 1.6136993 159.0000000
768.3672620 1.6136059 166.0000000
768.4117240 1.6135126 155.0000000
768.4561860 1.6134192 157.0000000
768.5006480 1.6133259 156.0000000
768.5451100 1.6132325 155.0000000
768.5895720 1.6131392 163.0000000
768.6340340 1.6130459 155.0000000
768.6784960 1.6129526 156.0000000
768.7229580 1.6128593 157.0000000
768.7674200 1.6127660 167.0000000
768.8118820 1.6126727 163.0000000
768.8563440 1.6125795 165.0000000
768.9008060 1.6124862 154.0000000
768.9452680 1.6123930 146.0000000
768.9897300 1.6122998 151.0000000
769.0341920 1.6122066 163.0000000
769.0786540 1.6121134 166.0000000
769.1231160 1.6120202 166.0000000
769.1675780 1.6119270 158.0000000
769.2120400 1.6118338 162.0000000
769.2565020 1.6117406 152.0000000
769.3009640 1.6116475 152.0000000
769.3454260 1.6115544 163.0000000
769.3898880 1.6114612 158.0000000
769.4343500 1.6113681 153.0000000
769.4788120 1.6112750 161.0000000
769.5232740 1.6111819 163.0000000
769.5677360 1.6110888 164.0000000
769.6121980 1.6109957 157.0000000
769.6566600 1.6109027 160.0000000
769.7011220 1.6108096 162.0000000
769.7455840 1.6107166 178.0000000
769.7900460 1.6106235 164.0000000
769.8345080 1.6105305 150.0000000
769.8789700 1.6104375 160.0000000
769.9234320 1.6103445 153.0000000
769.9678940 1.6102515 158.0000000
770.0123560 1.6101585 160.0000000
770.0568180 1.6100656 156.0000000
770.1012800 1.6099726 161.0000000
770.1457420 1.6098797 158.0000000
770.1902040 1.6097867 157.0000000
770.2346660 1.6096938 163.0000000
770.2791280 1.6096009 157.0000000
770.3235900 1.6095080 158.0000000
770.3680520 1.6094151 165.0000000
770.4125140 1.6093222 149.0000000
770.4569760 1.6092293 161.0000000
770.5014380 1.6091365 157.0000000
770.5459000 1.6090436 157.0000000
770.5903620 1.6089508 163.0000000
770.6348240 1.6088580 151.0000000
770.6792860 1.6087651 171.0000000
770.7237480 1.6086723 170.0000000
770.7682100 1.6085795 165.0000000
770.8126720 1.6084868 153.0000000
770.8571340 1.6083940 162.0000000
770.9015960 1.6083012 158.0000000
770.9460580 1.6082085 167.0000000
770.9905200 1.6081157 155.0000000
771.0349820 1.6080230 163.0000000
771.0794440 1.6079303 163.0000000
771.1239060 1.6078375 168.0000000
771.1683680 1.6077448 166.0000000
771.2128300 1.6076522 154.0000000
771.2572920 1.6075595 168.0000000
771.3017540 1.6074668 152.0000000
771.3462160 1.6073742 162.0000000
771.3906780 1.6072815 168.0000000
771.4351400 1.6071889 161.0000000
771.4796020 1.6070962 158.0000000
771.5240640 1.6070036 148.0000000
771.5685260 1.6069110 157.0000000
771.6129880 1.6068184 170.0000000
771.6574500 1.6067258 164.0000000
771.7019120 1.6066333 148.0000000
771.7463740 1.6065407 157.0000000
771.7908360 1.6064482 148.0000000
771.8352980 1.6063556 156.0000000
771.8797600 1.6062631 162.0000000
771.9242220 1.6061706 162.0000000
771.9686840 1.6060781 170.0000000
772.0131460 1.6059856 169.0000000
772.0576080 1.6058931 167.0000000
772.1020700 1.6058006 153.0000000
772.1465320 1.6057081 165.0000000
772.1909940 1.6056157 162.0000000
772.2354560 1.6055232 176.0000000
772.2799180 1.6054308 151.0000000
772.3243800 1.6053384 165.0000000
772.3688420 1.6052460 153.0000000
772.4133040 1.6051536 159.0000000
772.4577660 1.6050612 158.0000000
772.5022280 1.6049688 170.0000000
772.5466900 1.6048764 162.0000000
772.5911520 1.6047841 172.0000000
772.6356140 1.6046917 156.0000000
772.6800760 1.6045994 168.0000000
772.7245380 1.6045071 160.0000000
772.7690000 1.6044147 160.0000000
772.8134620 1.6043224 155.0000000
772.8579240 1.6042301 162.0000000
772.9023860 1.6041378 180.0000000
772.9468480 1.6040456 159.0000000
772.9913100 1.6039533 160.0000000
773.0357720 1.6038611 165.0000000
773.0802340 1.6037688 156.0000000
773.1246960 1.6036766 146.0000000
773.1691580 1.6035844 172.0000000
773.2136200 1.6034922 158.0000000
773.2580820 1.6033999 160.0000000
773.3025440 1.6033078 166.0000000
773.3470060 1.6032156 162.0000000
773.3914680 1.6031234 152.0000000
773.4359300 1.6030313 149.0000000
773.4803920 1.6029391 146.0000000
773.5248540 1.6028470 155.0000000
773.5693160 1.6027548 169.0000000
773.6137780 1.6026627 168.0000000
773.6582400 1.6025706 165.0000000
773.7027020 1.6024785 153.0000000
773.7471640 1.6023864 143.0000000
773.7916260 1.6022944 165.0000000
773.8360880 1.6022023 149.0000000
773.8805500 1.6021103 158.0000000
773.9250120 1.6020182 160.0000000
773.9694740 1.6019262 163.0000000
774.0139360 1.6018342 177.0000000
774.0583980 1.6017422 164.0000000
774.1028600 1.6016502 168.0000000
774.1473220 1.6015582 175.0000000
774.1917840 1.6014662 154.0000000
774.2362460 1.6013742 164.0000000
774.2807080 1.6012823 161.0000000
774.3251700 1.6011903 166.0000000
774.3696320 1.6010984 167.0000000
774.4140940 1.6010065 152.0000000
774.4585560 1.6009145 165.0000000
774.5030180 1.6008226 160.0000000
774.5474800 1.6007308 165.0000000
774.5919420 1.6006389 157.0000000
774.6364040 1.6005470 164.0000000
774.6808660 1.6004551 163.0000000
774.7253280 1.6003633 173.0000000
774.7697900 1.6002714 157.0000000
774.8142520 1.6001796 161.0000000
774.8587140 1.6000878 162.0000000
774.9031760 1.5999960 157.0000000
774.9476380 1.5999042 170.0000000
774.9921000 1.5998124 160.0000000
775.0365620 1.5997206 168.0000000
775.0810240 1.5996289 161.0000000
775.1254860 1.5995371 168.0000000
775.1699480 1.5994454 154.0000000
775.2144100 1.5993536 162.0000000
775.2588720 1.5992619 152.0000000
775.3033340 1.5991702 166.0000000
775.3477960 1.5990785 171.0000000
775.3922580 1.5989868 157.0000000
775.4367200 1.5988951 166.0000000
775.4811820 1.5988034 166.0000000
775.5256440 1.5987118 149.0000000
775.5701060 1.5986201 169.0000000
775.6145680 1.5985285 179.0000000
775.6590300 1.5984368 166.0000000
775.7034920 1.5983452 170.0000000
775.7479540 1.5982536 171.0000000
775.7924160 1.5981620 163.0000000
775.8368780 1.5980704 164.0000000
775.8813400 1.5979788 177.0000000
775.9258020 1.5978873 156.0000000
775.9702640 1.5977957 170.0000000
776.0147260 1.5977042 168.0000000
776.0591880 1.5976126 170.0000000
776.1036500 1.5975211 165.0000000
776.1481120 1.5974296 170.0000000
776.1925740 1.5973381 161.0000000
776.2370360 1.5972466 153.0000000
776.2814980 1.5971551 165.0000000
776.3259600 1.5970636 156.0000000
776.3704220 1.5969722 154.0000000
776.4148840 1.5968807 159.0000000
776.4593460 1.5967893 157.0000000
776.5038080 1.5966979 168.0000000
776.5482700 1.5966064 147.0000000
776.5927320 1.5965150 155.0000000
776.6371940 1.5964236 157.0000000
776.6816560 1.5963322 173.0000000
776.7261180 1.5962409 164.0000000
776.7705800 1.5961495 147.0000000
776.8150420 1.5960581 165.0000000
776.8595040 1.5959668 178.0000000
776.9039660 1.5958755 175.0000000
776.9484280 1.5957841 155.0000000
